estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
TWFE with Control,-9.98376008534772e-4,0.12332265503775394,-0.22924871737481167,0.23784757603634915,0.09978202860700791,1,50,10,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,-0.006048944828091714,0.19628880324022316,-0.3931666235946636,0.3819550723717508,0.15274975092220452,1,50,10,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-0.003256583851474246,0.17445776548083722,-0.3414331970990605,0.33715563631722656,0.13822803317634796,1,50,10,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,-1.579497905271284e-4,0.1243713486549767,-0.23799519251328205,0.23741273166070695,0.09871798082750478,1,50,10,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.01132078628543096,0.2779756538846063,-0.541452464904135,0.5195078900649553,0.2222385403319615,1,50,10,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.003130961668780431,0.17236986561984488,-0.33292536224338415,0.33173316776571277,0.13729827783783882,1,50,10,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.0023454828009516876,0.2060438124540962,-0.4032905396248659,0.3909177208026693,0.1622465768864555,1,50,10,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.002006188990792504,0.18810577098786743,-0.3613143159223501,0.35595413905978046,0.15109744160946154,1,50,10,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.004767044242885742,0.1298965814348119,-0.2580627206112511,0.23899119355734597,0.10339544518802553,1,50,10,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.02666915658835933,0.797169234574493,-1.6023107732331456,1.500620508741855,0.6326031390730664,1,50,10,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.0014272221310410288,0.4259844740075484,-0.7855564942482637,0.8574638528108471,0.3424598212037663,1,50,10,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.022535929433563112,0.4827441708261116,-0.9112490319761389,0.95716946496851385,0.38111387186539714,1,50,10,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.04480392503432016,0.44494730908915514,-0.7915180763218636,0.8857273552430436,0.3534858744745268,1,50,10,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.03457379765043186,0.3183460320932158,-0.6204648157476416,0.6440383556404059,0.25455673247811544,1,50,10,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.0023242157838789753,0.4527523490629198,-0.8680244274215618,0.8774847929497324,0.36093557904521645,1,50,10,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.00680628984641642,0.32357273994441715,-0.6363876906489034,0.6204934477114037,0.25880991845500273,1,50,10,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.015401237211258434,0.5207776717405576,-0.9693793692607889,1.0132696457134922,0.4076400361887944,1,50,10,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.028107182287838192,0.47358841346724245,-0.8905328044030888,0.9528672471423397,0.37280657429999425,1,50,10,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.027357748935379435,0.33533238828932876,-0.6448831784600239,0.6820832243895657,0.26743454401070244,1,50,10,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.008927975026085739,0.5134725374744742,-0.9982693482914952,1.0098249694013515,0.40608614019556877,1,50,10,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.005677300458245839,0.3585788512468572,-0.7275815210270075,0.6997731335055074,0.2849770760477015,1,50,10,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.0311099748406765,0.4946834375010906,-0.9069132905588659,1.0084442846927903,0.398512352602842,1,50,10,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.05860679614187456,0.45278702100583135,-0.7793400922871155,0.9049676432383704,0.3624015502205143,1,50,10,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.05167337167313553,0.33477876574086624,-0.6053900857594378,0.6854175057441899,0.26772975644275304,1,50,10,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.011232048828470894,0.44865930673494625,-0.7821752231024837,0.8593836875515937,0.36248929005831504,1,50,10,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
